store_id,transaction_id,timestamp,basket_value_inr
ST1008,TXN_104338647,2026-04-10T12:15:05Z,1647.0
ST1008,TXN_104341290,2026-04-10T12:42:18Z,11367.0
ST1008,TXN_104346717,2026-04-10T13:41:55Z,396.0
ST1008,TXN_104347785,2026-04-10T13:55:16Z,201.0
ST1008,TXN_104350137,2026-04-10T14:23:21Z,225.0
ST1008,TXN_104353598,2026-04-10T15:02:20Z,1165.0
ST1008,TXN_104357849,2026-04-10T15:46:39Z,599.0
ST1008,TXN_104358212,2026-04-10T15:50:44Z,402.0
ST1008,TXN_104359750,2026-04-10T16:08:03Z,799.0
ST1008,TXN_104362899,2026-04-10T16:45:32Z,4029.0
ST1008,TXN_104363838,2026-04-10T16:55:36Z,2713.0
ST1008,TXN_104368521,2026-04-10T17:44:44Z,299.0
ST1008,TXN_104369411,2026-04-10T17:55:02Z,2074.0
ST1008,TXN_104369867,2026-04-10T18:00:18Z,149.0
ST1008,TXN_104370397,2026-04-10T18:07:14Z,1155.0
ST1008,TXN_104373042,2026-04-10T18:41:51Z,2658.0
ST1008,TXN_104375288,2026-04-10T19:02:09Z,3441.0
ST1008,TXN_104377545,2026-04-10T19:21:55Z,4385.0
ST1008,TXN_104378732,2026-04-10T19:33:52Z,1198.0
ST1008,TXN_104379480,2026-04-10T19:41:29Z,2296.0
ST1008,TXN_104380754,2026-04-10T19:54:02Z,1749.0
ST1008,TXN_104383803,2026-04-10T20:25:04Z,1199.0
ST1008,TXN_104389493,2026-04-10T21:16:15Z,299.0
ST1008,TXN_104391745,2026-04-10T21:39:55Z,475.0
